City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
307,tromso,69.6496,18.957,12.43,94,75,2.06,NO,1692709439
308,santa cruz,-17.8,-63.1667,28.7,74,22,8.23,BO,1692709440
309,divnogorsk,55.9594,92.3619,21.27,73,53,0.76,RU,1692709440
310,palopo,-2.9996,120.1921,24.66,88,8,0.79,ID,1692709441
311,mogocha,53.7333,119.7667,10.88,78,100,2.07,RU,1692709442
312,berdigestyakh,62.0989,126.6992,7.66,69,6,1.82,RU,1692709443
313,champerico,14.3,-91.9167,24.3,83,100,2.9,GT,1692709444
314,lompoc,34.6391,-120.4579,16.62,83,8,0.89,US,1692709192
315,lihue,21.9789,-159.3672,26.77,84,75,5.14,US,1692709160
316,udachny,66.4167,112.4,6.92,65,11,3.56,RU,1692709192
317,richards bay,-28.783,32.0377,23.17,61,0,4.34,ZA,1692709215
318,kourou,5.1552,-52.6478,29.03,69,50,4.34,GF,1692709169
319,kollam,8.8833,76.6,26.94,85,30,5.51,IN,1692709446
320,lichuan,30.3,108.85,19.74,74,0,1.31,CN,1692709447
321,belmonte,-15.8631,-38.8828,25.91,80,73,3.83,BR,1692709447
322,winnemucca,40.973,-117.7357,15.66,78,2,0.6,US,1692709448
323,darovskoy,58.77,47.9564,14.63,51,92,3.69,RU,1692709448
324,sertania,-8.0736,-37.2644,29.1,41,4,4.91,BR,1692709449
325,isangel,-19.55,169.2667,20.83,70,34,6.48,VU,1692709449
326,riohacha,11.5444,-72.9072,28.72,75,100,0.73,CO,1692709211
327,celakovice,50.1604,14.7501,33.79,48,1,2.87,CZ,1692709450
328,stillwater,36.1156,-97.0584,27.34,92,0,0.0,US,1692709451
329,marsassoum,12.8275,-15.9806,23.46,91,100,1.58,SN,1692709451
330,at taj,24.2049,23.2857,39.69,10,0,4.02,LY,1692709295
331,hongjiang,27.11,109.9956,26.57,82,0,1.26,CN,1692709452
332,keflavik,64.0049,-22.5624,12.95,58,0,2.06,IS,1692709145
333,alvorada,-12.48,-49.1247,35.5,24,83,1.06,BR,1692709453
334,stung treng,13.5259,105.9683,24.76,95,99,0.28,KH,1692709453
335,manzhouli,49.6,117.4333,12.44,93,100,2.28,CN,1692709224
336,tai'an,36.1853,117.12,22.51,67,11,1.72,CN,1692709454
337,happy valley-goose bay,53.3168,-60.3315,14.17,67,75,4.63,CA,1692709183
338,okhotsk,59.3833,143.3,12.2,90,21,1.83,RU,1692708870
339,al mindak,20.1588,41.2834,26.32,36,72,3.07,SA,1692709456
340,la sarre,48.8002,-79.1996,15.21,73,100,1.49,CA,1692709134
341,nadym,65.5333,72.5167,14.68,57,100,3.64,RU,1692709213
342,mil'kovo,55.6078,37.7956,18.52,69,96,3.43,RU,1692709457
343,san jose del guaviare,2.5729,-72.6459,24.56,92,100,1.03,CO,1692709457
344,tabas,33.5959,56.9244,39.19,10,0,7.18,IR,1692709459
345,revda,56.801,59.9303,17.0,44,100,2.38,RU,1692709459
346,vernon,50.2581,-119.2691,18.2,88,57,1.54,CA,1692709153
347,la concepcion de los banos,19.6819,-99.8569,10.31,98,68,0.75,MX,1692709460
348,tofol,5.3248,163.0078,27.72,74,100,0.65,FM,1692709247
349,lahat,-3.8,103.5333,24.58,69,6,1.63,ID,1692709461
350,urangan,-25.3,152.9,19.07,75,0,3.32,AU,1692709361
351,pamandzi,-12.7967,45.2794,26.88,69,20,2.06,YT,1692709462
352,limassol,34.675,33.0333,30.04,70,0,6.69,CY,1692709462
353,katsuren-haebaru,26.3369,127.8719,28.01,78,39,1.24,JP,1692709329
354,port macquarie,-31.4333,152.9167,12.72,71,34,2.13,AU,1692709293
355,tadine,-21.55,167.8833,20.06,65,100,6.56,NC,1692709463
356,belyy yar,53.6039,91.3903,21.94,53,0,2.0,RU,1692709194
357,gibsons,49.3997,-123.5027,15.08,78,0,3.58,CA,1692709464
358,miyazu,35.5333,135.1833,26.36,79,14,3.05,JP,1692709464
359,ghat,24.9647,10.1728,39.37,10,15,1.31,LY,1692709465
360,betio village,1.358,172.9211,29.02,71,89,4.13,KI,1692709465
361,ushtobe,45.2514,77.9838,32.18,15,2,5.24,KZ,1692709465
362,chernyshevskiy,63.0128,112.4714,9.27,56,20,2.22,RU,1692709466
